"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Healthcare practitioners and technical workers, all other",29-9099,44.2,50.3,6.1,13.8,4.6,14.9,"$49,430",Postsecondary nondegree award,None,None
Healthcare support occupations,31-0000,"4,238.0","5,212.2",974.2,23.0,3.5,"1,907.6","$26,440",Ñ,Ñ,Ñ
"Nursing, psychiatric, and home health aides",31-1000,"2,536.0","3,156.3",620.3,24.5,2.2,"1,193.1","$23,570",Ñ,Ñ,Ñ
Home health aides,31-1011,913.5,"1,261.9",348.4,38.1,2.2,554.8,"$21,380",No formal educational credential,None,Short-term on-the-job training
Psychiatric aides,31-1013,77.3,81.4,4.1,5.3,1.1,21.6,"$26,220",High school diploma or equivalent,None,Short-term on-the-job training
Nursing assistants,31-1014,"1,492.1","1,754.1",262.0,17.6,2.3,599.0,"$25,100",Postsecondary nondegree award,None,None
Orderlies,31-1015,53.0,58.8,5.8,10.9,Ñ,17.8,"$24,650",High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy and physical therapist assistants and aides,31-2000,170.6,238.8,68.2,40.0,1.1,117.6,"$44,810",Ñ,Ñ,Ñ
Occupational therapy assistants and aides,31-2010,41.9,58.7,16.8,40.1,1.0,28.9,"$52,300",Ñ,Ñ,Ñ
Occupational therapy assistants,31-2011,33.0,47.1,14.1,42.7,1.0,23.6,"$56,950",Associate's degree,None,None
Occupational therapy aides,31-2012,8.8,11.6,2.7,30.6,1.0,5.3,"$26,550",High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants and aides,31-2020,128.7,180.2,51.4,39.9,1.1,88.7,"$41,640",Ñ,Ñ,Ñ
Physical therapist assistants,31-2021,78.7,110.7,31.9,40.6,1.1,54.7,"$54,410",Associate's degree,None,None
Physical therapist aides,31-2022,50.0,69.5,19.5,39.0,1.1,34.0,"$24,650",High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,31-9000,"1,531.4","1,817.1",285.7,18.7,6.0,596.9,"$31,540",Ñ,Ñ,Ñ
Massage therapists,31-9011,168.8,205.2,36.5,21.6,47.7,49.0,"$37,180",Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,31-9090,"1,362.6","1,611.8",249.3,18.3,0.9,547.9,"$31,290",Ñ,Ñ,Ñ
Dental assistants,31-9091,318.8,377.4,58.6,18.4,Ñ,137.5,"$35,390",Postsecondary nondegree award,None,None
Medical assistants,31-9092,591.3,730.2,138.9,23.5,0.0,262.1,"$29,960",Postsecondary nondegree award,None,None
Medical equipment preparers,31-9093,52.0,59.3,7.3,14.0,1.9,18.1,"$32,260",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,31-9094,70.0,67.8,-2.2,-3.1,12.0,14.6,"$34,750",Postsecondary nondegree award,None,None
Pharmacy aides,31-9095,41.5,41.6,0.1,0.3,Ñ,8.8,"$23,200",High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants and laboratory animal caretakers,31-9096,73.4,80.0,6.6,9.0,Ñ,21.9,"$23,790",High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,31-9097,112.7,140.8,28.1,24.9,0.5,51.6,"$30,670",Postsecondary nondegree award,None,None
"Healthcare support workers, all other",31-9099,102.7,114.7,12.0,11.7,1.5,33.4,"$34,620",High school diploma or equivalent,None,None
Protective service occupations,33-0000,"3,443.8","3,597.7",153.9,4.5,0.5,972.5,"$37,180",Ñ,Ñ,Ñ
Supervisors of protective service workers,33-1000,288.0,300.5,12.5,4.3,0.3,112.4,"$65,080",Ñ,Ñ,Ñ
First-line supervisors of law enforcement workers,33-1010,155.7,161.7,6.0,3.9,Ñ,58.3,"$73,630",Ñ,Ñ,Ñ
First-line supervisors of correctional officers,33-1011,47.6,49.1,1.5,3.1,Ñ,15.3,"$57,970",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of police and detectives,33-1012,108.1,112.7,4.5,4.2,Ñ,43.0,"$80,930",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of fire fighting and prevention workers,33-1021,63.5,66.8,3.3,5.2,Ñ,33.4,"$70,670",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"First-line supervisors of protective service workers, all other",33-1099,68.7,71.9,3.2,4.6,1.2,20.7,"$45,830",High school diploma or equivalent,Less than 5 years,None
Fire fighting and prevention workers,33-2000,341.4,359.7,18.3,5.4,0.1,117.3,"$46,320",Ñ,Ñ,Ñ
Firefighters,33-2011,327.3,344.7,17.4,5.3,Ñ,112.3,"$45,970",Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,33-2020,14.1,15.0,0.9,6.4,2.6,5.0,"$54,020",Ñ,Ñ,Ñ
Fire inspectors and investigators,33-2021,12.4,13.1,0.7,5.5,2.8,4.3,"$56,130",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors and prevention specialists,33-2022,1.7,2.0,0.2,13.1,Ñ,0.7,"$36,430",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,33-3000,"1,290.6","1,339.7",49.1,3.8,0.1,441.3,"$51,100",Ñ,Ñ,Ñ
"Bailiffs, correctional officers, and jailers",33-3010,474.8,492.8,17.9,3.8,Ñ,148.5,"$39,700",Ñ,Ñ,Ñ
Bailiffs,33-3011,17.3,18.1,0.8,4.7,Ñ,5.6,"$38,150",High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers and jailers,33-3012,457.6,474.7,17.1,3.7,Ñ,143.0,"$39,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives and criminal investigators,33-3021,116.7,115.3,-1.4,-1.2,0.6,28.3,"$79,870",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish and game wardens,33-3031,6.2,6.3,0.1,1.9,Ñ,2.0,"$50,880",Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,33-3041,9.4,7.4,-2.0,-20.8,Ñ,2.8,"$36,570",High school diploma or equivalent,None,Short-term on-the-job training
Police officers,33-3050,683.5,717.9,34.4,5.0,Ñ,259.7,"$56,770",Ñ,Ñ,Ñ
Police and sheriff's patrol officers,33-3051,680.0,714.2,34.2,5.0,Ñ,258.4,"$56,810",High school diploma or equivalent,None,Moderate-term on-the-job training
Transit and railroad police,33-3052,3.6,3.7,0.1,3.5,Ñ,1.3,"$51,690",High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,33-9000,"1,523.8","1,597.9",74.1,4.9,1.1,301.4,"$24,590",Ñ,Ñ,Ñ
Animal control workers,33-9011,15.0,15.9,0.9,5.8,4.9,4.3,"$32,560",High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives and investigators,33-9021,34.9,36.7,1.8,5.2,22.6,11.0,"$44,570",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards and gaming surveillance officers,33-9030,"1,102.5","1,157.5",55.0,5.0,0.7,210.6,"$24,470",Ñ,Ñ,Ñ
Gaming surveillance officers and gaming investigators,33-9031,7.0,6.6,-0.5,-7.0,Ñ,1.0,"$29,840",High school diploma or equivalent,None,Short-term on-the-job training
Security guards,33-9032,"1,095.4","1,150.9",55.5,5.1,0.7,209.6,"$24,410",High school diploma or equivalent,None,Short-term on-the-job training
