"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Construction and related workers, all other",47-4099,35.4,37.8,2.4,6.9,9.9,7.8,"$35,400",High school diploma or equivalent,None,Moderate-term on-the-job training
Extraction workers,47-5000,282.2,305.4,23.2,8.2,1.5,94.0,"$42,150",Ñ,Ñ,Ñ
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",47-5010,114.3,125.5,11.1,9.7,0.6,50.2,"$47,060",Ñ,Ñ,Ñ
"Derrick operators, oil and gas",47-5011,21.7,24.6,2.9,13.3,0.6,10.3,"$48,410",No formal educational credential,None,Short-term on-the-job training
"Rotary drill operators, oil and gas",47-5012,27.7,31.2,3.5,12.7,0.6,13.0,"$53,160",No formal educational credential,None,Moderate-term on-the-job training
"Service unit operators, oil, gas, and mining",47-5013,64.9,69.6,4.7,7.3,0.6,26.9,"$44,970",No formal educational credential,None,Moderate-term on-the-job training
"Earth drillers, except oil and gas",47-5021,20.0,22.7,2.7,13.6,3.2,7.2,"$43,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Explosives workers, ordnance handling experts, and blasters",47-5031,8.1,8.4,0.3,3.9,Ñ,1.9,"$52,140",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Mining machine operators,47-5040,22.3,21.5,-0.8,-3.5,7.4,4.3,"$49,120",Ñ,Ñ,Ñ
Continuous mining machine operators,47-5041,12.3,11.6,-0.6,-5.3,7.4,2.4,"$48,440",No formal educational credential,None,Moderate-term on-the-job training
Mine cutting and channeling machine operators,47-5042,7.4,7.3,-0.1,-1.8,7.4,1.4,"$50,260",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mining machine operators, all other",47-5049,2.6,2.6,0.0,0.3,7.4,0.5,"$49,150",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rock splitters, quarry",47-5051,3.7,3.9,0.3,6.9,2.5,0.7,"$33,240",No formal educational credential,None,Short-term on-the-job training
"Roof bolters, mining",47-5061,6.0,5.3,-0.6,-10.8,2.5,0.7,"$54,860",High school diploma or equivalent,None,Moderate-term on-the-job training
"Roustabouts, oil and gas",47-5071,76.4,82.7,6.3,8.3,0.3,21.3,"$35,780",No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,47-5081,25.8,29.0,3.2,12.6,2.4,6.2,"$34,480",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extraction workers, all other",47-5099,5.7,6.3,0.7,11.9,2.4,1.3,"$41,140",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, and repair occupations",49-0000,"5,680.5","6,046.0",365.5,6.4,5.0,"1,708.9","$42,110",Ñ,Ñ,Ñ
"Supervisors of installation, maintenance, and repair workers",49-1000,447.1,471.4,24.3,5.4,0.0,113.5,"$62,150",Ñ,Ñ,Ñ
"First-line supervisors of mechanics, installers, and repairers",49-1011,447.1,471.4,24.3,5.4,0.0,113.5,"$62,150",High school diploma or equivalent,Less than 5 years,None
"Electrical and electronic equipment mechanics, installers, and repairers",49-2000,610.9,610.7,-0.2,0.0,5.5,109.4,"$47,660",Ñ,Ñ,Ñ
"Computer, automated teller, and office machine repairers",49-2011,131.6,134.8,3.2,2.4,15.5,28.6,"$36,560","Some college, no degree",None,Short-term on-the-job training
Radio and telecommunications equipment installers and repairers,49-2020,232.2,225.2,-7.0,-3.0,1.8,21.8,"$54,770",Ñ,Ñ,Ñ
"Radio, cellular, and tower equipment installers and repairs",49-2021,13.6,14.4,0.8,6.0,1.7,2.1,"$47,950",Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers and repairers, except line installers",49-2022,218.6,210.8,-7.8,-3.6,1.8,19.7,"$55,190",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,247.1,250.7,3.6,1.5,3.7,59.0,"$48,500",Ñ,Ñ,Ñ
Avionics technicians,49-2091,17.4,17.5,0.1,0.4,Ñ,3.1,"$56,910",Associate's degree,None,None
"Electric motor, power tool, and related repairers",49-2092,19.3,20.0,0.7,3.6,9.6,6.0,"$39,220",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics installers and repairers, transportation equipment",49-2093,14.8,15.4,0.7,4.4,1.0,3.2,"$56,000",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,67.8,67.8,0.1,0.1,0.9,11.8,"$54,640",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,22.7,21.7,-1.0,-4.5,1.0,3.9,"$71,400",Postsecondary nondegree award,None,Long-term on-the-job training
"Electronic equipment installers and repairers, motor vehicles",49-2096,11.5,5.8,-5.8,-50.0,Ñ,2.0,"$31,020",Postsecondary nondegree award,None,Short-term on-the-job training
Electronic home entertainment equipment installers and repairers,49-2097,29.6,30.3,0.7,2.4,9.9,4.9,"$36,090",Postsecondary nondegree award,None,Short-term on-the-job training
Security and fire alarm systems installers,49-2098,64.0,72.3,8.2,12.9,5.1,24.1,"$42,560",High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,"1,678.8","1,786.5",107.8,6.4,8.4,518.7,"$39,450",Ñ,Ñ,Ñ
Aircraft mechanics and service technicians,49-3011,119.9,121.5,1.6,1.3,1.3,30.1,"$56,990",Postsecondary nondegree award,None,None
Automotive technicians and repairers,49-3020,909.0,963.3,54.3,6.0,12.4,289.4,"$37,580",Ñ,Ñ,Ñ
Automotive body and related repairers,49-3021,149.7,163.5,13.7,9.2,6.8,48.1,"$40,320",High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers and repairers,49-3022,19.3,20.8,1.5,7.8,17.4,4.1,"$32,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians and mechanics,49-3023,739.9,779.0,39.1,5.3,13.4,237.2,"$37,120",Postsecondary nondegree award,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists,49-3031,263.9,295.5,31.6,12.0,3.8,76.9,"$43,630",High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,186.5,196.5,10.1,5.4,3.1,54.1,"$45,930",Ñ,Ñ,Ñ
Farm equipment mechanics and service technicians,49-3041,40.3,43.2,2.9,7.2,3.2,12.4,"$36,150",High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",49-3042,124.7,131.3,6.6,5.3,3.0,36.0,"$47,580",High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,49-3043,21.5,22.0,0.6,2.7,3.2,5.7,"$54,020",High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,49-3050,71.7,74.9,3.2,4.4,9.5,17.6,"$34,130",Ñ,Ñ,Ñ
Motorboat mechanics and service technicians,49-3051,22.5,23.1,0.6,2.7,9.5,5.1,"$37,340",High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,49-3052,17.0,18.0,1.0,6.0,9.7,4.4,"$34,010",Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment and other small engine mechanics,49-3053,32.3,33.8,1.5,4.8,9.3,8.1,"$32,120",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,127.8,134.9,7.1,5.5,3.8,50.6,"$24,500",Ñ,Ñ,Ñ
Bicycle repairers,49-3091,10.8,13.2,2.3,21.7,3.9,6.0,"$26,370",High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,49-3092,11.4,11.8,0.4,3.3,3.9,4.3,"$35,630",High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers and changers,49-3093,105.5,109.9,4.3,4.1,3.8,40.3,"$23,730",High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, and repair occupations",49-9000,"2,943.7","3,177.3",233.6,7.9,3.8,967.4,"$39,790",Ñ,Ñ,Ñ
Control and valve installers and repairers,49-9010,59.8,61.9,2.1,3.4,Ñ,25.7,"$46,600",Ñ,Ñ,Ñ
Mechanical door repairers,49-9011,17.4,19.3,1.9,10.7,Ñ,8.7,"$37,080",High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,42.4,42.6,0.2,0.5,Ñ,16.9,"$53,140",High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,292.0,331.6,39.6,13.6,8.6,84.2,"$44,630",Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,46.4,44.8,-1.6,-3.4,28.7,12.5,"$35,410",High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,466.2,539.6,73.4,15.7,2.8,182.9,"$47,440",Ñ,Ñ,Ñ
Industrial machinery mechanics,49-9041,332.2,391.9,59.7,18.0,3.8,145.9,"$48,630",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,91.2,98.7,7.4,8.2,Ñ,22.1,"$42,640",High school diploma or equivalent,None,Moderate-term on-the-job training
Millwrights,49-9044,40.9,47.1,6.2,15.2,Ñ,14.5,"$50,460",High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,1.8,1.8,0.0,0.7,4.0,0.5,"$44,910",High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,236.6,250.3,13.7,5.8,2.3,82.5,"$61,740",Ñ,Ñ,Ñ
Electrical power-line installers and repairers,49-9051,118.6,131.6,13.0,11.0,2.1,60.3,"$65,930",High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,118.0,118.7,0.7,0.6,2.6,22.2,"$54,450",High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,75.8,78.7,2.9,3.9,13.0,17.2,"$44,400",Ñ,Ñ,Ñ
Camera and photographic equipment repairers,49-9061,3.7,3.8,0.2,4.7,13.2,0.8,"$40,020",Associate's degree,None,Long-term on-the-job training
Medical equipment repairers,49-9062,48.0,50.9,2.9,6.1,13.5,11.5,"$45,660",Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,8.6,8.9,0.4,4.2,14.2,1.9,"$33,150",High school diploma or equivalent,None,Apprenticeship
Watch repairers,49-9064,2.7,2.0,-0.7,-25.7,14.1,0.5,"$35,450",High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,12.8,13.0,0.2,1.4,10.5,2.5,"$52,090",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,"1,374.7","1,458.1",83.5,6.1,0.7,443.7,"$36,170",High school diploma or equivalent,None,Long-term on-the-job training
Wind turbine service technicians,49-9081,4.4,9.2,4.8,108.0,15.1,5.5,"$48,800","Some college, no degree",None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,387.8,403.1,15.2,3.9,8.7,113.2,"$32,290",Ñ,Ñ,Ñ
"Coin, vending, and amusement machine servicers and repairers",49-9091,34.9,31.9,-3.0,-8.7,16.3,4.6,"$31,860",High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,4.4,6.0,1.6,36.9,14.9,2.3,"$45,890",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Fabric menders, except garment",49-9093,0.8,0.7,-0.1,-12.6,15.3,0.1,"$23,930",No formal educational credential,None,Long-term on-the-job training
Locksmiths and safe repairers,49-9094,20.9,17.8,-3.1,-14.8,15.8,10.7,"$38,600",High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,4.0,2.8,-1.2,-30.0,18.3,1.0,"$29,600",High school diploma or equivalent,None,Short-term on-the-job training
Riggers,49-9096,20.8,22.6,1.8,8.7,Ñ,7.2,"$41,570",High school diploma or equivalent,None,Short-term on-the-job training
Signal and track switch repairers,49-9097,9.5,9.5,0.0,-0.1,12.3,1.5,"$60,640",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,129.0,141.2,12.2,9.4,Ñ,53.8,"$25,390",High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,163.5,170.6,7.1,4.3,13.5,32.0,"$37,220",High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,51-0000,"9,230.3","8,948.3",-282.1,-3.1,2.6,"2,220.8","$31,720",Ñ,Ñ,Ñ
Supervisors of production workers,51-1000,606.9,588.2,-18.7,-3.1,1.5,95.9,"$55,520",Ñ,Ñ,Ñ
First-line supervisors of production and operating workers,51-1011,606.9,588.2,-18.7,-3.1,1.5,95.9,"$55,520",High school diploma or equivalent,Less than 5 years,None
Assemblers and fabricators,51-2000,"1,834.0","1,824.3",-9.7,-0.5,0.6,377.2,"$29,280",Ñ,Ñ,Ñ
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,40.6,38.6,-2.0,-4.9,0.4,8.1,"$48,340",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,269.4,255.8,-13.6,-5.0,0.1,33.2,"$30,540",Ñ,Ñ,Ñ
"Coil winders, tapers, and finishers",51-2021,14.9,14.1,-0.9,-5.7,Ñ,1.8,"$32,980",High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical and electronic equipment assemblers,51-2022,207.2,197.0,-10.2,-4.9,0.1,25.5,"$29,910",High school diploma or equivalent,None,Moderate-term on-the-job training
Electromechanical equipment assemblers,51-2023,47.2,44.7,-2.5,-5.3,Ñ,5.8,"$32,760",High school diploma or equivalent,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,39.0,39.0,0.0,0.1,Ñ,7.8,"$38,310",High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,79.2,80.8,1.6,2.0,0.3,14.6,"$36,570",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,"1,405.8","1,410.1",4.3,0.3,0.8,313.4,"$28,050",Ñ,Ñ,Ñ
Fiberglass laminators and fabricators,51-2091,19.2,18.6,-0.6,-3.3,0.8,4.1,"$28,950",High school diploma or equivalent,None,Moderate-term on-the-job training
Team assemblers,51-2092,"1,144.2","1,137.7",-6.5,-0.6,0.8,245.7,"$28,370",High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2093,1.7,1.6,0.0,-1.9,Ñ,0.4,"$30,060",High school diploma or equivalent,None,Moderate-term on-the-job training
"Assemblers and fabricators, all other",51-2099,240.7,252.2,11.5,4.8,0.8,63.2,"$26,380",High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,786.1,808.9,22.7,2.9,1.9,186.1,"$25,060",Ñ,Ñ,Ñ
Bakers,51-3011,185.3,198.3,13.0,7.0,5.6,53.6,"$23,600",No formal educational credential,None,Long-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,377.9,384.2,6.3,1.7,0.7,81.6,"$25,250",Ñ,Ñ,Ñ
Butchers and meat cutters,51-3021,139.0,146.0,7.0,5.0,0.6,34.4,"$28,660",No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,152.4,152.3,-0.2,-0.1,0.7,30.1,"$23,350",No formal educational credential,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,86.4,85.9,-0.5,-0.6,0.7,17.1,"$25,560",No formal educational credential,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,223.0,226.3,3.3,1.5,1.1,51.0,"$26,230",Ñ,Ñ,Ñ
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,18.5,18.7,0.1,0.7,Ñ,4.0,"$27,680",No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,51-3092,122.5,122.0,-0.5,-0.4,0.9,26.4,"$26,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,37.5,38.0,0.5,1.3,1.5,8.3,"$27,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,44.4,47.7,3.3,7.4,1.6,12.4,"$23,780",No formal educational credential,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,"1,971.5","1,872.5",-99.0,-5.0,1.8,562.7,"$36,120",Ñ,Ñ,Ñ
Computer control programmers and operators,51-4010,173.9,204.7,30.7,17.7,Ñ,83.6,"$37,740",Ñ,Ñ,Ñ
"Computer-controlled machine tool operators, metal and plastic",51-4011,148.8,174.8,26.0,17.5,Ñ,71.2,"$36,440",High school diploma or equivalent,None,Moderate-term on-the-job training
"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,25.1,29.9,4.8,18.9,Ñ,12.4,"$47,500",High school diploma or equivalent,None,Long-term on-the-job training
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,128.8,101.7,-27.1,-21.0,0.2,31.7,"$34,320",Ñ,Ñ,Ñ
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,73.4,55.5,-17.9,-24.4,0.3,18.1,"$32,610",High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,21.6,17.0,-4.6,-21.5,Ñ,5.3,"$33,710",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,33.7,29.1,-4.6,-13.5,Ñ,8.3,"$39,900",High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,346.7,274.6,-72.0,-20.8,0.3,71.6,"$32,360",Ñ,Ñ,Ñ
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,192.2,152.7,-39.5,-20.6,0.1,24.3,"$30,680",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,17.8,14.1,-3.7,-20.5,0.8,3.1,"$34,500",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,71.4,55.8,-15.7,-21.9,0.9,29.8,"$32,660",High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,42.9,34.3,-8.6,-20.0,Ñ,10.6,"$36,260",High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,22.4,17.8,-4.6,-20.6,0.8,3.9,"$37,100",High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,399.7,438.9,39.2,9.8,1.0,154.7,"$39,980",High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,31.0,27.4,-3.6,-11.7,Ñ,9.9,"$38,740",Ñ,Ñ,Ñ
Metal-refining furnace operators and tenders,51-4051,21.2,20.2,-1.0,-4.8,Ñ,6.7,"$41,140",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,9.8,7.2,-2.6,-26.6,Ñ,3.1,"$32,410",High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,10.1,7.8,-2.2,-22.2,0.8,1.8,"$44,190",Ñ,Ñ,Ñ
"Model makers, metal and plastic",51-4061,6.2,4.9,-1.3,-21.5,0.8,1.1,"$46,180",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,3.8,2.9,-0.9,-23.4,Ñ,0.7,"$41,390",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,141.5,105.8,-35.7,-25.2,Ñ,21.0,"$29,020",Ñ,Ñ,Ñ
Foundry mold and coremakers,51-4071,12.0,8.7,-3.3,-27.7,Ñ,1.8,"$31,340",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,129.5,97.2,-32.3,-25.0,Ñ,19.2,"$28,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,99.8,97.3,-2.5,-2.5,0.8,17.3,"$34,140",High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,77.8,67.7,-10.1,-13.0,1.6,3.8,"$48,890",High school diploma or equivalent,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,457.5,461.2,3.7,0.8,5.8,145.6,"$37,120",Ñ,Ñ,Ñ
"Welders, cutters, solderers, and brazers",51-4121,397.9,412.3,14.4,3.6,5.8,128.5,"$37,420",High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,59.5,48.8,-10.7,-18.0,5.8,17.1,"$35,180",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,104.7,85.4,-19.2,-18.4,1.0,21.6,"$33,800",Ñ,Ñ,Ñ
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,21.3,17.2,-4.2,-19.6,0.8,3.7,"$35,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,13.4,10.7,-2.7,-20.1,0.8,2.3,"$45,020",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,36.1,29.4,-6.7,-18.4,Ñ,8.9,"$30,210",High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,11.5,9.5,-2.0,-17.5,4.8,2.8,"$35,420",High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,22.4,18.7,-3.7,-16.6,0.8,3.9,"$32,130",High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,51-5100,260.7,223.1,-37.6,-14.4,2.6,39.4,"$34,250",Ñ,Ñ,Ñ
Prepress technicians and workers,51-5111,36.5,27.5,-9.0,-24.6,1.3,5.7,"$37,200",Postsecondary nondegree award,None,None
Printing press operators,51-5112,173.0,151.4,-21.6,-12.5,3.6,26.0,"$35,100",High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,51.2,44.2,-7.0,-13.7,Ñ,7.7,"$29,500",High school diploma or equivalent,None,Short-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,643.4,567.4,-76.0,-11.8,10.7,102.0,"$22,590",Ñ,Ñ,Ñ
Laundry and dry-cleaning workers,51-6011,208.2,212.0,3.7,1.8,4.2,33.6,"$20,320",No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,51.5,48.1,-3.4,-6.6,0.6,12.1,"$20,150",No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,51-6031,153.9,112.2,-41.7,-27.1,8.4,9.4,"$21,920",No formal educational credential,None,Short-term on-the-job training
Shoe and leather workers,51-6040,13.3,10.7,-2.6,-19.2,16.1,2.0,"$24,030",Ñ,Ñ,Ñ
Shoe and leather workers and repairers,51-6041,9.7,8.2,-1.5,-15.1,21.7,1.6,"$23,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,3.5,2.5,-1.1,-30.5,Ñ,0.4,"$24,750",High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,52.5,47.9,-4.6,-8.8,51.1,17.5,"$25,610",Ñ,Ñ,Ñ
"Sewers, hand",51-6051,12.0,10.8,-1.2,-9.8,50.9,4.0,"$23,630",No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,40.5,37.0,-3.4,-8.5,51.2,13.5,"$26,460",No formal educational credential,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,79.9,60.5,-19.4,-24.3,6.4,12.3,"$26,280",Ñ,Ñ,Ñ
Textile bleaching and dyeing machine operators and tenders,51-6061,11.7,8.9,-2.8,-23.9,0.7,1.2,"$24,930",High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,14.3,10.6,-3.7,-25.7,Ñ,2.3,"$25,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,27.9,20.6,-7.3,-26.2,18.1,4.6,"$27,270",High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,26.0,20.3,-5.6,-21.7,Ñ,4.2,"$26,250",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,84.0,76.1,-8.0,-9.5,15.0,15.1,"$31,100",Ñ,Ñ,Ñ
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,20.1,17.3,-2.8,-14.1,0.7,2.1,"$32,970",High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,5.4,4.0,-1.4,-26.0,Ñ,0.6,"$41,310",High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,42.2,40.4,-1.8,-4.3,29.2,10.8,"$31,890",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,16.2,14.3,-1.9,-11.8,0.7,1.7,"$26,460",High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,51-7000,254.6,253.1,-1.5,-0.6,8.2,42.9,"$28,920",Ñ,Ñ,Ñ
Cabinetmakers and bench carpenters,51-7011,98.1,99.3,1.3,1.3,8.3,9.2,"$31,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,17.1,16.7,-0.4,-2.4,9.2,3.0,"$28,810",High school diploma or equivalent,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,4.4,4.4,0.0,-0.9,47.3,1.0,"$33,710",Ñ,Ñ,Ñ
"Model makers, wood",51-7031,2.6,2.6,0.0,-1.4,47.2,0.6,"$30,940",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,1.8,1.8,0.0,-0.3,47.3,0.4,"$37,980",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,122.0,119.8,-2.2,-1.8,2.7,26.7,"$27,300",Ñ,Ñ,Ñ
"Sawing machine setters, operators, and tenders, wood",51-7041,50.0,49.5,-0.5,-1.1,5.9,14.2,"$27,040",High school diploma or equivalent,None,Short-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,72.1,70.4,-1.7,-2.4,0.4,12.5,"$27,450",High school diploma or equivalent,None,Short-term on-the-job training
"Woodworkers, all other",51-7099,12.9,12.9,0.0,-0.3,45.7,3.0,"$28,100",High school diploma or equivalent,None,Moderate-term on-the-job training
Plant and system operators,51-8000,325.2,325.9,0.7,0.2,0.1,110.7,"$55,870",Ñ,Ñ,Ñ
"Power plant operators, distributors, and dispatchers",51-8010,60.0,56.7,-3.3,-5.6,Ñ,20.6,"$72,910",Ñ,Ñ,Ñ
Nuclear power reactor operators,51-8011,7.5,7.4,-0.1,-0.9,Ñ,2.6,"$82,500",High school diploma or equivalent,None,Long-term on-the-job training
