Code,Occupation,Categories
41-2021.00,Counter and Rental Clerks,Numerous Job Openings
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",Numerous Job Openings
29-1141.03,Critical Care Nurses,Numerous Job Openings; New and Emerging
43-4051.00,Customer Service Representatives,Numerous Job Openings
13-1199.03,Customs Brokers,Numerous Job Openings; New and Emerging
29-2011.01,Cytogenetic Technologists,New and Emerging
29-2011.02,Cytotechnologists,New and Emerging
15-1199.07,Data Warehousing Specialists,New and Emerging
15-1199.06,Database Architects,New and Emerging
31-9091.00,Dental Assistants,Rapid Growth; Numerous Job Openings
29-2021.00,Dental Hygienists,Rapid Growth; Numerous Job Openings
29-1069.02,Dermatologists,Numerous Job Openings; New and Emerging
29-2032.00,Diagnostic Medical Sonographers,Rapid Growth
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Numerous Job Openings
35-9021.00,Dishwashers,Numerous Job Openings
11-9039.01,Distance Learning Coordinators,New and Emerging
15-1199.12,Document Management Specialists,New and Emerging
53-3031.00,Driver/Sales Workers,Numerous Job Openings
17-3029.02,Electrical Engineering Technologists,New and Emerging
47-2111.00,Electricians,Numerous Job Openings
17-3029.03,Electromechanical Engineering Technologists,New and Emerging
17-3029.04,Electronics Engineering Technologists,New and Emerging
25-2021.00,"Elementary School Teachers, Except Special Education",Numerous Job Openings
47-4021.00,Elevator Installers and Repairers,Rapid Growth
29-2041.00,Emergency Medical Technicians and Paramedics,Rapid Growth; Numerous Job Openings
31-9099.02,Endoscopy Technicians,New and Emerging
13-1199.01,Energy Auditors,Numerous Job Openings; New and Emerging
41-3099.01,Energy Brokers,Numerous Job Openings; New and Emerging
17-2199.03,Energy Engineers,New and Emerging
19-3011.01,Environmental Economists,New and Emerging
19-2041.02,Environmental Restoration Planners,New and Emerging
43-6011.00,Executive Secretaries and Executive Administrative Assistants,Numerous Job Openings
11-9013.02,Farm and Ranch Managers,Numerous Job Openings
13-1074.00,Farm Labor Contractors,Numerous Job Openings
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Numerous Job Openings
45-2092.02,"Farmworkers and Laborers, Crop",Numerous Job Openings
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Numerous Job Openings
47-4031.00,Fence Erectors,Rapid Growth
13-2051.00,Financial Analysts,Numerous Job Openings
11-3031.00,Financial Managers,Numerous Job Openings
11-3031.02,"Financial Managers, Branch or Department",Numerous Job Openings
13-2099.01,Financial Quantitative Analysts,New and Emerging
33-2011.00,Firefighters,Numerous Job Openings
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Rapid Growth; Numerous Job Openings
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Numerous Job Openings
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Numerous Job Openings
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Numerous Job Openings
41-1011.00,First-Line Supervisors of Retail Sales Workers,Numerous Job Openings
11-9039.02,Fitness and Wellness Coordinators,New and Emerging
35-2021.00,Food Preparation Workers,Numerous Job Openings
35-3041.00,"Food Servers, Nonrestaurant",Numerous Job Openings
33-2011.02,Forest Firefighters,Numerous Job Openings
13-2099.04,"Fraud Examiners, Investigators and Analysts",New and Emerging
43-5011.01,Freight Forwarders,New and Emerging
17-2141.01,Fuel Cell Engineers,New and Emerging
17-3029.10,Fuel Cell Technicians,New and Emerging
11-1021.00,General and Operations Managers,Numerous Job Openings
29-9092.00,Genetic Counselors,Rapid Growth
19-1029.03,Geneticists,New and Emerging
17-1022.01,Geodetic Surveyors,New and Emerging
19-3092.00,Geographers,Rapid Growth
15-1199.05,Geographic Information Systems Technicians,New and Emerging
15-1199.04,Geospatial Information Scientists and Technologists,New and Emerging
11-3051.02,Geothermal Production Managers,New and Emerging
49-9099.01,Geothermal Technicians,New and Emerging
11-2011.01,Green Marketers,New and Emerging
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Numerous Job Openings
25-1071.00,"Health Specialties Teachers, Postsecondary",Rapid Growth
29-2099.00,"Health Technologists and Technicians, All Other",Rapid Growth
21-1022.00,Healthcare Social Workers,Rapid Growth
29-2092.00,Hearing Aid Specialists,Rapid Growth
49-9021.01,Heating and Air Conditioning Mechanics and Installers,Numerous Job Openings
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Numerous Job Openings
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Numerous Job Openings
47-3019.00,"Helpers, Construction Trades, All Other",Rapid Growth
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Rapid Growth
47-3012.00,Helpers--Carpenters,Rapid Growth
47-3013.00,Helpers--Electricians,Rapid Growth
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Rapid Growth
51-9198.00,Helpers--Production Workers,Numerous Job Openings
29-2011.03,Histotechnologists and Histologic Technicians,New and Emerging
31-1011.00,Home Health Aides,Rapid Growth; Numerous Job Openings
29-1069.03,Hospitalists,Numerous Job Openings; New and Emerging
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Numerous Job Openings
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Numerous Job Openings
17-2112.01,Human Factors Engineers and Ergonomists,New and Emerging
13-1071.00,Human Resources Specialists,Numerous Job Openings
51-8099.04,Hydroelectric Plant Technicians,New and Emerging
11-3051.06,Hydroelectric Production Managers,New and Emerging
19-2041.03,Industrial Ecologists,New and Emerging
17-3029.05,Industrial Engineering Technologists,New and Emerging
49-9041.00,Industrial Machinery Mechanics,Numerous Job Openings
53-7051.00,Industrial Truck and Tractor Operators,Numerous Job Openings
19-3032.00,Industrial-Organizational Psychologists,Rapid Growth
15-1121.01,Informatics Nurse Specialists,Rapid Growth; Numerous Job Openings; New and Emerging
15-1122.00,Information Security Analysts,Rapid Growth
15-1199.09,Information Technology Project Managers,New and Emerging
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Numerous Job Openings
25-9031.01,Instructional Designers and Technologists,New and Emerging
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",Rapid Growth
47-2132.00,"Insulation Workers, Mechanical",Rapid Growth
41-3021.00,Insurance Sales Agents,Numerous Job Openings
33-3021.06,Intelligence Analysts,New and Emerging
27-3091.00,Interpreters and Translators,Rapid Growth
11-9199.03,Investment Fund Managers,Numerous Job Openings; New and Emerging
13-2099.03,Investment Underwriters,New and Emerging
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Numerous Job Openings
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Numerous Job Openings
37-3011.00,Landscaping and Groundskeeping Workers,Numerous Job Openings
23-1011.00,Lawyers,Numerous Job Openings
